Days,Venue,0900-0930,0930-1000,1000-1030,1030-1100,1100-1130,1130-1200,1200-1230,1230-1300,1400-1430,1430-1500,1500-1530,1530-1600,1600-1630,1630-1700,1700-1730
Monday,"Viva Room, Level 7",P25,P106,,,P30,P7,,,P109,P63,,P116,,P53,P96
Monday,"Meeting Room, Level 7",P5,,,P19,,,,,P86,,P94,,P73,,
Monday,"Interaction Room, Level 7",,P21,P88,P105,P57,,,P84,P74,P33,,,,P87,P98
Monday,"BJIM Discussion Room, Level 5",,P50,,,P10,P15,,,,,,,,,P55
Tuesday,"Viva Room, Level 7",,,P111,,P89,P22,,P26,P14,P27,,P9,,P40,
Tuesday,"Meeting Room, Level 7",,,,,,,P71,P17,P34,,P11,,,,
Tuesday,"Interaction Room, Level 7",,,P51,,,,,,,P77,,P100,,,P43
Tuesday,"BJIM Discussion Room, Level 5",,P80,,,,,,,P66,P95,,P70,,,P90
Wednesday,"Viva Room, Level 7",P37,,,,,,,,P44,P112,P113,,,,
Wednesday,"Meeting Room, Level 7",,,,P117,,,,,,,,,,,
Wednesday,"Interaction Room, Level 7",,,,,,,,,,,,,,,
Wednesday,"BJIM Discussion Room, Level 5",,,,,,,P42,,,,,P110,P108,,P72
Thursday,"Viva Room, Level 7",P56,P20,,P114,,,,,P79,,,,P16,P76,P18
Thursday,"Meeting Room, Level 7",P3,,,P31,P65,P13,P75,,P41,P2,,,P48,,P32
Thursday,"Interaction Room, Level 7",P92,P24,,,,,P58,,,,P78,P38,P104,,P8
Thursday,"BJIM Discussion Room, Level 5",,P82,P1,,,P97,,P49,P91,P93,,P36,,P52,P35
Friday,"Viva Room, Level 7",P6,,,,P83,P45,P81,P39,,,,P99,,,P68
Friday,"Meeting Room, Level 7",P12,,,P60,P115,,,,,P67,P29,,,P28,P61
Friday,"Interaction Room, Level 7",,,P23,,,P59,,,,,P107,P47,P101,P102,P54
Friday,"BJIM Discussion Room, Level 5",,P118,P46,P64,,,P103,,P85,,P62,P4,,P69,
